Initial population weights = [340.83369838405343, 311.48742796483504, 402.0274534627699, 431.62794339231596, 266.521732950988, 376.0371356903819, 259.4497993315531, 263.2432565995895, 293.84275895460223, 405.69844758566063, 385.6271273259871, 319.52013222341, 318.4559134633632, 376.81750273472767, 351.1984690522359, 225.71510643950353, 351.63141765770695, 317.88355879542877, 508.38341816151734, 338.5556006574324]
Initial population fitness = 0.006844557900828064
Number to retain = 20
Generation 176 fitness  = 0.0982
Generation 177 fitness  = 0.0978
Generation 178 fitness  = 0.0984
Generation 179 fitness  = 0.0987
Generation 180 fitness  = 0.1007
Generation 181 fitness  = 0.1034
Generation 182 fitness  = 0.105
Generation 183 fitness  = 0.1063
Generation 184 fitness  = 0.1074
Generation 185 fitness  = 0.1084
Generation 186 fitness  = 0.1088
Generation 187 fitness  = 0.1087
Generation 188 fitness  = 0.1096
Generation 189 fitness  = 0.1101
Generation 190 fitness  = 0.1105
Generation 191 fitness  = 0.1114
Generation 192 fitness  = 0.1126
Generation 193 fitness  = 0.1137
Generation 194 fitness  = 0.115
Generation 195 fitness  = 0.1158
Generation 196 fitness  = 0.1156
Generation 197 fitness  = 0.1167
Generation 198 fitness  = 0.1178
Generation 199 fitness  = 0.1223
Generation 200 fitness  = 0.1265
Generation 201 fitness  = 0.1302
Generation 202 fitness  = 0.1321
Generation 203 fitness  = 0.1343
Generation 204 fitness  = 0.137
Generation 205 fitness  = 0.1414
Generation 206 fitness  = 0.1454
Generation 207 fitness  = 0.1491
Generation 208 fitness  = 0.1508
Generation 209 fitness  = 0.1547
Generation 210 fitness  = 0.1611
Generation 211 fitness  = 0.1669
Generation 212 fitness  = 0.1706
Generation 213 fitness  = 0.1739
Generation 214 fitness  = 0.1751
Generation 215 fitness  = 0.1765
Generation 216 fitness  = 0.179
Generation 217 fitness  = 0.181
Generation 218 fitness  = 0.1818
Generation 219 fitness  = 0.1823
Generation 220 fitness  = 0.1827
Generation 221 fitness  = 0.1824
Generation 222 fitness  = 0.1823
Generation 223 fitness  = 0.1828
Generation 224 fitness  = 0.1832
Generation 225 fitness  = 0.1819
Generation 226 fitness  = 0.1834
Generation 227 fitness  = 0.184
Generation 228 fitness  = 0.1872
Generation 229 fitness  = 0.1912
Generation 230 fitness  = 0.1973
Generation 231 fitness  = 0.2027
Generation 232 fitness  = 0.2084
Generation 233 fitness  = 0.2119
Generation 234 fitness  = 0.213
Generation 235 fitness  = 0.2145
Generation 236 fitness  = 0.2162
Generation 237 fitness  = 0.2169
Generation 238 fitness  = 0.2175
Generation 239 fitness  = 0.2181
Generation 240 fitness  = 0.219
Generation 241 fitness  = 0.2253
Generation 242 fitness  = 0.2321
Generation 243 fitness  = 0.2375
Generation 244 fitness  = 0.2415
Generation 245 fitness  = 0.2423
Generation 246 fitness  = 0.2439
Generation 247 fitness  = 0.2469
Generation 248 fitness  = 0.2527
Generation 249 fitness  = 0.261
Generation 250 fitness  = 0.2684
Generation 251 fitness  = 0.2724
Generation 252 fitness  = 0.2752
Generation 253 fitness  = 0.277
Generation 254 fitness  = 0.2786
Generation 255 fitness  = 0.2797
Generation 256 fitness  = 0.28
Generation 257 fitness  = 0.2796
Generation 258 fitness  = 0.2836
Generation 259 fitness  = 0.2877
Generation 260 fitness  = 0.292
Generation 261 fitness  = 0.2968
Generation 262 fitness  = 0.2971
Generation 263 fitness  = 0.3015
Generation 264 fitness  = 0.3028
Generation 265 fitness  = 0.3032
Generation 266 fitness  = 0.3024
Generation 267 fitness  = 0.3031
Generation 268 fitness  = 0.3045
Generation 269 fitness  = 0.3046
Generation 270 fitness  = 0.3046
Generation 271 fitness  = 0.3031
Generation 272 fitness  = 0.3043
Generation 273 fitness  = 0.3053
Generation 274 fitness  = 0.3076
Generation 275 fitness  = 0.3159
Generation 276 fitness  = 0.3203
Generation 277 fitness  = 0.3245
Generation 278 fitness  = 0.3272
Generation 279 fitness  = 0.3281
Generation 280 fitness  = 0.3298
Generation 281 fitness  = 0.3292
Generation 282 fitness  = 0.3319
Generation 283 fitness  = 0.3404
